Date,Item_label,Region,Price,,,,
01/02/2024,Agric eggs medium size,NORTH CENTRAL,1677.828635,,,,
01/02/2024,Agric eggs medium size,NORTH EAST,1415.044171,,,,
01/02/2024,Agric eggs medium size,NORTH WEST,1428.630102,,,,
01/02/2024,Agric eggs medium size,SOUTH EAST,1511.728989,,,,
01/02/2024,Agric eggs medium size,SOUTH SOUTH,1423.055556,,,,
01/02/2024,Agric eggs medium size,SOUTH WEST,1445.858886,,,,
01/02/2024,Agric eggs(medium size price of one),NORTH CENTRAL,142.4103896,,,,
01/02/2024,Agric eggs(medium size price of one),NORTH EAST,123.3493015,,,,
01/02/2024,Agric eggs(medium size price of one),NORTH WEST,151.7687075,,,,
01/02/2024,Agric eggs(medium size price of one),SOUTH EAST,128.0874034,,,,
01/02/2024,Agric eggs(medium size price of one),SOUTH SOUTH,141.7638889,,,,
01/02/2024,Agric eggs(medium size price of one),SOUTH WEST,143.8330026,,,,
01/02/2024,"Beans brown,sold loose",NORTH CENTRAL,1242.102555,,,,
01/02/2024,"Beans brown,sold loose",NORTH EAST,885.8645295,,,,
01/02/2024,"Beans brown,sold loose",NORTH WEST,929.3370834,,,,
01/02/2024,"Beans brown,sold loose",SOUTH EAST,1384.721243,,,,
01/02/2024,"Beans brown,sold loose",SOUTH SOUTH,1395.23075,,,,
01/02/2024,"Beans brown,sold loose",SOUTH WEST,1295.499862,,,,
01/02/2024,Beans:white black eye. sold loose,NORTH CENTRAL,1251.584611,,,,
01/02/2024,Beans:white black eye. sold loose,NORTH EAST,840.7035849,,,,
01/02/2024,Beans:white black eye. sold loose,NORTH WEST,974.4114413,,,,
01/02/2024,Beans:white black eye. sold loose,SOUTH EAST,1375.140825,,,,
01/02/2024,Beans:white black eye. sold loose,SOUTH SOUTH,1354.438406,,,,
01/02/2024,Beans:white black eye. sold loose,SOUTH WEST,1195.64847,,,,
01/02/2024,Beef Bone in,NORTH CENTRAL,3922.62223,,,,
01/02/2024,Beef Bone in,NORTH EAST,2854.753467,,,,
01/02/2024,Beef Bone in,NORTH WEST,2527.07483,,,,
01/02/2024,Beef Bone in,SOUTH EAST,2665.030612,,,,
01/02/2024,Beef Bone in,SOUTH SOUTH,3518.355198,,,,
01/02/2024,Beef Bone in,SOUTH WEST,3090.604171,,,,
01/02/2024,"Beef,boneless",NORTH CENTRAL,3629.4949,,,,
01/02/2024,"Beef,boneless",NORTH EAST,3460.675674,,,,
01/02/2024,"Beef,boneless",NORTH WEST,3315.502451,,,,
01/02/2024,"Beef,boneless",SOUTH EAST,4483.778594,,,,
01/02/2024,"Beef,boneless",SOUTH SOUTH,3496.08932,,,,
01/02/2024,"Beef,boneless",SOUTH WEST,3740.716824,,,,
01/02/2024,Bread sliced 500g,NORTH CENTRAL,1109.012965,,,,
01/02/2024,Bread sliced 500g,NORTH EAST,867.3125,,,,
01/02/2024,Bread sliced 500g,NORTH WEST,895.8730159,,,,
01/02/2024,Bread sliced 500g,SOUTH EAST,1075.611729,,,,
01/02/2024,Bread sliced 500g,SOUTH SOUTH,1454.027778,,,,
01/02/2024,Bread sliced 500g,SOUTH WEST,905.0969517,,,,
01/02/2024,Bread unsliced 500g,NORTH CENTRAL,1143.278092,,,,
01/02/2024,Bread unsliced 500g,NORTH EAST,774.5419455,,,,
01/02/2024,Bread unsliced 500g,NORTH WEST,766.7222222,,,,
01/02/2024,Bread unsliced 500g,SOUTH EAST,1022.428201,,,,
01/02/2024,Bread unsliced 500g,SOUTH SOUTH,1448.819444,,,,
01/02/2024,Bread unsliced 500g,SOUTH WEST,841.6666667,,,,
01/02/2024,Broken Rice (Ofada),NORTH CENTRAL,1544.256378,,,,
01/02/2024,Broken Rice (Ofada),NORTH EAST,1185.985737,,,,
01/02/2024,Broken Rice (Ofada),NORTH WEST,1001.826484,,,,
01/02/2024,Broken Rice (Ofada),SOUTH EAST,1318.760396,,,,
01/02/2024,Broken Rice (Ofada),SOUTH SOUTH,1294.739057,,,,
01/02/2024,Broken Rice (Ofada),SOUTH WEST,1706.890548,,,,
01/02/2024,Catfish (obokun) fresh,NORTH CENTRAL,2583.451071,,,,
01/02/2024,Catfish (obokun) fresh,NORTH EAST,2006.113151,,,,
01/02/2024,Catfish (obokun) fresh,NORTH WEST,2701.047619,,,,
01/02/2024,Catfish (obokun) fresh,SOUTH EAST,3501.517539,,,,
01/02/2024,Catfish (obokun) fresh,SOUTH SOUTH,3035.223106,,,,
01/02/2024,Catfish (obokun) fresh,SOUTH WEST,2885.486111,,,,
01/02/2024,Catfish :dried,NORTH CENTRAL,3882.725119,,,,
01/02/2024,Catfish :dried,NORTH EAST,4055.075897,,,,
01/02/2024,Catfish :dried,NORTH WEST,2928.843157,,,,
01/02/2024,Catfish :dried,SOUTH EAST,5770.798642,,,,
01/02/2024,Catfish :dried,SOUTH SOUTH,3397.317676,,,,
01/02/2024,Catfish :dried,SOUTH WEST,3481.988307,,,,
01/02/2024,Catfish Smoked,NORTH CENTRAL,3176.258271,,,,
01/02/2024,Catfish Smoked,NORTH EAST,3612.615287,,,,
01/02/2024,Catfish Smoked,NORTH WEST,2737,,,,
01/02/2024,Catfish Smoked,SOUTH EAST,3621.938472,,,,
01/02/2024,Catfish Smoked,SOUTH SOUTH,3166.984127,,,,
01/02/2024,Catfish Smoked,SOUTH WEST,3452.043651,,,,
01/02/2024,Chicken Feet,NORTH CENTRAL,2600.463903,,,,
01/02/2024,Chicken Feet,NORTH EAST,1057.175478,,,,
01/02/2024,Chicken Feet,NORTH WEST,2207.738095,,,,
01/02/2024,Chicken Feet,SOUTH EAST,2452.668246,,,,
01/02/2024,Chicken Feet,SOUTH SOUTH,2734.722222,,,,
01/02/2024,Chicken Feet,SOUTH WEST,2821.212121,,,,
01/02/2024,Chicken Wings,NORTH CENTRAL,2983.62465,,,,
01/02/2024,Chicken Wings,NORTH EAST,1977.118478,,,,
01/02/2024,Chicken Wings,NORTH WEST,2250.928571,,,,
01/02/2024,Chicken Wings,SOUTH EAST,2665.654888,,,,
01/02/2024,Chicken Wings,SOUTH SOUTH,3376.291246,,,,
01/02/2024,Chicken Wings,SOUTH WEST,3288.308081,,,,
01/02/2024,Dried Fish Sardine,NORTH CENTRAL,3666.79105,,,,
01/02/2024,Dried Fish Sardine,NORTH EAST,3959.523586,,,,
01/02/2024,Dried Fish Sardine,NORTH WEST,2526.087289,,,,
01/02/2024,Dried Fish Sardine,SOUTH EAST,4300.64274,,,,
01/02/2024,Dried Fish Sardine,SOUTH SOUTH,3038.013232,,,,
01/02/2024,Dried Fish Sardine,SOUTH WEST,2411.19579,,,,
01/02/2024,Evaporated tinned milk carnation 170g,NORTH CENTRAL,587.6609668,,,,
01/02/2024,Evaporated tinned milk carnation 170g,NORTH EAST,597.4992846,,,,
01/02/2024,Evaporated tinned milk carnation 170g,NORTH WEST,489,,,,
01/02/2024,Evaporated tinned milk carnation 170g,SOUTH EAST,615.9252348,,,,
01/02/2024,Evaporated tinned milk carnation 170g,SOUTH SOUTH,616.25,,,,
01/02/2024,Evaporated tinned milk carnation 170g,SOUTH WEST,505,,,,
01/02/2024,"Evaporated tinned milk(peak), 170g",NORTH CENTRAL,609.9568596,,,,
01/02/2024,"Evaporated tinned milk(peak), 170g",NORTH EAST,744.8386884,,,,
01/02/2024,"Evaporated tinned milk(peak), 170g",NORTH WEST,572.5765306,,,,
